product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_enabled,color,cpu_clock,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,sim_slots
Tablet - 5G,Apple,iPad Pro 13 M4,660249,12%,9599,8399,Apple Intelligence,Silver,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer",1 TB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-renewed-tablet-pc-660249.html,
Tablet - 5G,Apple,iPad Pro 11 M4,644015,18%,6499,5299,,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-2024-renewed-tablet-pc-644015.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M2,643175,28%,4149,2949,,Space Grey,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,256 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-renewed-tablet-pc-643175.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M2,643677,28%,4149,2949,,Blue,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,256 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-renewed-tablet-pc-643677.html,
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,618289,24%,4999,3799,,Space Grey,,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",128 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-618289.html,
Tablet - 5G,Apple,iPad Pro 11 M4,646815,18%,6499,5299,,Silver,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer Three-axis Gyro, Barometer, Ambient Light",512 MB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-2024-renewed-tablet-pc-646815.html,
Wi-Fi Tablet PC,Apple,iPad Pro 11 M2,618046,26%,3949,2899,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina Display,"11""",2388 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",128 GB,470.00 g ( 1.04 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-11-2022-renewed-tablet-pc-618046.html,1 SIM
Tablet - 5G,Apple,iPad Pro 13 M4,646687,12%,7799,6799,,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,582.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-2024-renewed-tablet-pc-646687.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,637634,33%,2699,1799,,Purple,,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,128 GB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-renewed-tablet-pc-637634.html,
Wi-Fi Tablet PC,Apple,iPad Pro 11 M4,661372,13%,7399,6399,Apple Intelligence,Space Black,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",1 TB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-renewed-tablet-pc-661372.html,
Tablet - 4G (with Keyboard),Huawei,MatePad Air,658034,40%,2499,1499,,Graphite,,HarmonyOS 3,8 GB RAM,LCD Touchscreen,"11.5""",2800 X 1840 Pixels,"FollowCam, Detachable Magnetic Keyboard",256 GB,518.00 g ( 1.14 lb ),https://www.jarir.com/sa-en/huawei-matepad-air-renewed-tablet-pc-658034.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad A16,661532,20%,2949,2349,,Silver,,iPadOS 18,,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID Sensor,512 MB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-a16-renewed-tablet-pc-661532.html,
Wi-Fi Tablet PC,Xiaomi,Pad 6,652571,46%,1599,849,,Champagne,3.2 GHz,Android 13,8 GB RAM,WQHD+ 144 Hz Display,"11""",1800 X 2880 Pixels,"Smartphone Link, Stylus Support (Magnetic)",256 GB,490.00 g ( 1.08 lb ),https://www.jarir.com/sa-en/xiaomi-pad-6-renewed-tablet-pc-652571.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,637645,26%,3149,2299,,Blue,,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,256 GB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-renewed-tablet-pc-637645.html,
Wi-Fi Tablet PC,Huawei,MatePad 11.5 S,658337,41%,1699,999,,Space Grey,,HarmonyOS 4.2,8 GB RAM,PaperMatte Touchscreen,"11.5""",2800 X 1840 Pixels,"Huawei App Gallery, Huawei Notes, GoPaint",256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-s-renewed-tablet-pc-658337.html,
Wi-Fi Tablet PC,Huawei,MatePad 11.5,629959,54%,1099,499,,Space Grey,,HarmonyOS 3.1,6 GB RAM,TFT-LCD Touchscreen,"11.5""",2200 X 1440 Pixels,Wide Angle Camera with FollowCam,128 GB,499.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-renewed-tablet-pc-629959.html,
Wi-Fi Tablet PC,Apple,iPad mini (A17 Pro),657105,20%,2749,2199,,Space Grey,,iPadOS 18,,Liquid Retina Display,"8.3""",2266 X 1488 Pixels,"Apple Intelligence, 6-core CPU, 5-core GPU",256 GB,293.00 g ( 10.34 oz ),https://www.jarir.com/sa-en/apple-ipad-mini-a17-pro-renewed-tablet-pc-657105.html,
Wi-Fi Tablet PC,Apple,iPad mini (A17 Pro),658487,17%,2299,1899,Apple Intelligence,Starlight,,iPadOS 18,,Liquid Retina Display,"8.3""",2266 X 1488 Pixels,"Apple Intelligence, 6-core CPU, 5-core GPU",128 GB,293.00 g ( 10.34 oz ),https://www.jarir.com/sa-en/apple-ipad-mini-a17-pro-renewed-tablet-pc-658487.html,
Wi-Fi Tablet PC,Apple,iPad mini (A17 Pro),658773,17%,2299,1899,Apple Intelligence,Blue,,iPadOS 18,,Liquid Retina Display,"8.3""",2266 X 1488 Pixels,"Apple Intelligence, 6-core CPU, 5-core GPU",128 GB,293.00 g ( 10.34 oz ),https://www.jarir.com/sa-en/apple-ipad-mini-a17-pro-renewed-tablet-pc-658773.html,
Wi-Fi Tablet PC,Huawei,MatePad 11.5 PaperMatte,663523,25%,1399,1049,,Space Grey,,HarmonyOS 4.3,8 GB RAM,120 Hz PaperMatte Touchscreen,"11.5""",2456 X 1600 PixelsÂ ,Huawei App Gallery,256 GB,515.00 g ( 1.14 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-papermatte-tablet-pc-663523.html,
