product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_enabled,color,cpu_clock,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,sim_slots
Wi-Fi Tablet PC,Samsung,Galaxy Tab A9+,633414,35%,999,649,,Graphite,,Android OS,8 GB RAM,TFT-LCD Touchscreen,"11""",1920 X 1200 Pixels,"Accelerometer, Compass, Gyro",128 GB,491.00 g ( 1.08 lb ),https://www.jarir.com/sa-en/samsung-tablet-pc-633414.html,
Wi-Fi Tablet PC,Samsung,Galaxy Tab A9,633417,41%,849,499,,Graphite,2.2 + 2.0 GHz,Android OS,8 GB RAM,FHD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,"Dolby Atmos, Quick Share",128 GB,333.00 g ( 11.75 oz ),https://www.jarir.com/sa-en/samsung-tablet-pc-633417.html,
Tablet - Wi-Fi (with Keyboard),Honor,Pad 10,659565,7%,1299,1199,,Grey,1X 2.63Gz (Cortex-A715) + 3X 2.4Gz (Cortex-A715) + 4X 1.8Gz (Cortex-A510),Android 15,8 GB RAM,IPS-LCD Touchscreen,"12.1""",2560 X 1600 Pixels,,256 GB,525.00 g ( 1.16 lb ),https://www.jarir.com/sa-en/honor-pad-10-tablet-pc-659565.html,
Wi-Fi Tablet PC,Samsung,Galaxy Tab A9+,633415,35%,999,649,,Navy,,Android OS,8 GB RAM,TFT-LCD Touchscreen,"11""",1920 X 1200 Pixels,"Accelerometer, Compass, Gyro",128 GB,491.00 g ( 1.08 lb ),https://www.jarir.com/sa-en/samsung-tablet-pc-633415.html,
Wi-Fi Tablet PC,Samsung,Galaxy Tab A9+,661473,35%,999,649,,Silver,,Android OS,8 GB RAM,TFT-LCD Touchscreen,"11""",1920 X 1200 Pixels,"Accelerometer, Compass, Gyro",128 GB,491.00 g ( 1.08 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-a9-tablet-pc-661473.html,
Tablet - Wi-Fi (with Active Pen),Lenovo,Idea Tab Pro,648251,23%,1499,1149,,Luna Grey,3.35 GHz + 3.2 GHz + 2.2 GHz,Android 14,8 GB RAM,3K 144 Hz LCD Display,"12.7""",2944 X 1840 Pixels,,256 GB,620.00 g ( 1.37 lb ),https://www.jarir.com/sa-en/lenovo-idea-tab-pro-tablet-pc-648251.html,
Wi-Fi Tablet PC,Huawei,MatePad SE 11,655734,41%,849,499,,Nebula Grey,,HarmonyOS 2,6 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,22.5W Fast Charging,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-matepad-se-11-tablet-pc-655734.html,
Wi-Fi Tablet PC,Samsung,Galaxy Tab A9,633418,41%,849,499,,Navy,2.2 + 2.0 GHz,Android OS,8 GB RAM,FHD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,"Dolby Atmos, Quick Share",128 GB,333.00 g ( 11.75 oz ),https://www.jarir.com/sa-en/samsung-tablet-pc-633418.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5,649531,21%,1399,1099,,Space Grey,,HarmonyOS 4.2,6 GB RAM,2.2K 120 Hz IPS-LCD Touchscreen,"11.5""",2200 X 1440 Pixels,Huawei App Gallery,128 GB,499.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-tablet-pc-649531.html,
Tablet - Wi-Fi (with Kids Cover & Stylus),Honor,Pad X8a Kids Edition,644234,35%,849,549,,Space Grey,4X 2.4 (Cortex A73) + 4X 1.9 (Cortex A53) GHz,Android 14,4 GB RAM,IPS-LCD Touchscreen,"11""",1920 X 1200 Pixels,"Parental Guidance, Kids Protective Case",128 GB,.50 kg ( 1.10 lb ),https://www.jarir.com/sa-en/honor-pad-x8a-kids-tablet-pc-644234.html,
