product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,color,cpu_clock,cpu_model,gpu_model,os,ram,release_date,screen_refresh_rate_hz,screen_resolution,screen_size_inch,storage,touchscreen,webcam,weight_kg,product_url,audio_feature,special_features
Laptop,Lenovo,IdeaPad Slim 3,638074,30%,1999,1399,,,Arctic Grey,1.8 GHz,Intel Core i3,Intel UHD Graphics,Windows 11 Home,8 GB RAM,2024,FHD TN AG 250N,1920 X 1080 (FHD),"14""",256 GB NVMe M.2 SSD,,720p HD Camera with Privacy Shutter,1.37 kg ( 3.02 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-slim-3-laptops-638074.html,"Dolby Audio, Stereo Speakers (2 X 1.5 W)",
Laptop,Apple,MacBook Air,632677,10%,5499,4899,16-core Neural Engine,Apple Intelligence,Midnight,,M3,10-core GPU,macOS Sonoma,8 GB RAM,2024,Liquid Retina Display,2880 X 1864,"15.3""",512 GB SSD,,1080p FaceTime HD Camera,1.51 kg ( 3.33 lb ),https://www.jarir.com/sa-en/apple-macbook-air-15-m3-laptops-632677.html,Built-in Mic/Speakers,
Laptop,Acer,Aspire Go,644106,20%,2999,2399,,,Silver,3.6 - 4.9 GHz,Intel Core i7,Intel UHD Graphics,Windows 11,16 GB RAM,2024,FHD-LED IPS Display,1920 X 1200,"14""",1 TB SSD,,720p HD Camera,1.60 kg ( 3.53 lb ),https://www.jarir.com/sa-en/acer-aspire-go-14-laptops-644106.html,Built-in Mic/Speakers,
Laptop,Asus,ExpertBook,643409,15%,3999,3399,Intel AI Boost up to 40 TOPS,CoPilot+ PC,Misty Grey,1.6 GHz,Intel Core Ultra 5,Intel Arc 130V,Windows 11 Home,16 GB RAM,2024,WQXGA Anti-glare Display,2560 X 1600 (WQXGA),"14""",512 GB PCIe NVMe M.2 SSD,,FHD IR Camera,1.29 kg ( 2.84 lb ),https://www.jarir.com/sa-en/asus-laptops-643409.html,"Built-in Speaker/Microphone, Smart Amp Technology","Backlit Chiclet Keyboard, Dolby Atmos"
Laptop,Asus,ExpertBook,643410,12%,4999,4399,Intel AI Boost up to 47 TOPS,CoPilot+ PC,Misty Grey,1.8 GHz,Intel Core Ultra 7,Intel Arc 140V,Windows 11 Home,32 GB RAM,2024,WQXGA Anti-glare Display,2560 X 1600 (WQXGA),"14""",1 TB M.2 NVMe PCIe 4.0 SSD,,FHD IR Camera,1.27 kg ( 2.80 lb ),https://www.jarir.com/sa-en/asus-laptops-643410.html,"Built-in Speaker/Microphone, Smart Amp Technology","Backlit Chiclet Keyboard, Dolby Atmos"
Laptop,Acer,Aspire Go,644115,21%,2799,2199,,,Silver,3.2 GHz,AMD Ryzen 7,AMD Radeon 680M,Windows 11,16 GB RAM,2024,Acer ComfyView FHD-LED Display,1920 X 1080 (FHD),"15.6""",512 GB SSD,,FHD Webcam,1.70 kg ( 3.75 lb ),https://www.jarir.com/sa-en/acer-aspire-go-15-laptops-644115.html,Built-in Mic/Speakers,
Laptop,Lenovo,Yoga Slim 7,653508,13%,4299,3699,Intel AI Boost,AI Enabled,Luna Grey,P-core: 1.4 - 4.8 GHz/E-core: 0.9 - 3.8 GHz,Intel Core Ultra 7,Intel Arc Graphics,Windows 11 Home,16 GB RAM,2025,WUXGA-OLED 400N,1920 X 1200 (WUXGA),"14""",512 GB SSD,,1080p HD Camera + IR with E-shutter + TOF,1.39 kg ( 3.06 lb ),https://www.jarir.com/sa-en/lenovo-laptops-653508.html,"Dolby Atmos, 4 X 2W Speakers",
Laptop,Apple,MacBook Air,646477,10%,5299,4749,16-core Neural Engine,Apple Intelligence,Starlight,,M3,10-core GPU,macOS Sequoia,16 GB RAM,2024,Liquid Retina Display,2880 X 1864,"15.3""",256 GB SSD,,1080p FaceTime HD Camera,1.51 kg ( 3.33 lb ),https://www.jarir.com/sa-en/apple-macbook-air-15-m3-laptops-646477.html,Built-in Mic/Speakers,
Laptop,Lenovo,IdeaPad 3,643729,23%,2299,1749,,,Arctic Grey,P-core: 1.2 - 4.4 GHz/E-core: 0.9 - 3.3 GHz,Intel Core i5,Intel Iris Xe Graphics,Windows 11,8 GB RAM,2024,FHD TN AG 250N,1920 X 1080 (FHD),"15.6""",512 GB NVMe M.2 SSD,,720p HD Camera with Privacy Shutter,1.63 kg ( 3.59 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-3-laptops-643729.html,"Dolby Audio, Stereo Speakers (2 X 1.5 W)",
Laptop,Apple,MacBook Air,646475,10%,5299,4749,16-core Neural Engine,Apple Intelligence,Space Grey,,M3,10-core GPU,macOS Sequoia,16 GB RAM,2024,Liquid Retina Display,2880 X 1864,"15.3""",256 GB SSD,,1080p FaceTime HD Camera,1.51 kg ( 3.33 lb ),https://www.jarir.com/sa-en/apple-macbook-air-15-m3-laptops-646475.html,Built-in Mic/Speakers,
